ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,description,genres
0440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,"In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives.Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman - pursued by enemies and friends alike - holds a stunning surprise of her own.","{fiction, thriller, mystery, suspense, crime}"
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,"The Onion has quickly become the world's most popular humor publication, misinforming half a million readers a week with one-of-a-kind social satire both in print (on newsstands nationwide) and online from its remote office in Madison, Wisconsin.Witness the march of history as Editor-in-Chief Scott Dikkers and The Onion's award-winning writing staff present the twentieth century like you've never seen it before.","{history, nonfiction}"
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,"The twin jet plane en route to Denver from Hong Kong is merely a green radar blip half an hour off the California coast when the call comes through to air traffic control:'Socal Approach, this is TransPacific 545. We have an emergency.' The pilot requests priority clearance to land - then comes the bombshell - he needs forty ambulances on the runway.But nothing prepares the rescue workers for the carnage they witness when they enter the plane.Ninety-four passengers are injured. Three dead. The interior cabin virtually destroyed.What happened on board Flight TPA 545?","{fiction, thriller, mystery, sciencefiction, suspense}"
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,"In an Arizona desert, a man wanders in a daze, speaking words that make no sense. Within twenty-four hours he is dead, his body swiftly cremated by his only known associates. Halfway around the world, archaeologists make a shocking discovery at a medieval site. Suddenly they are swept off to the headquarters of a secretive multinational corporation that has developed an astounding technology. Now this group is about to get a chance not to study the past but to enter it. And with history opened up to the present, the dead awakened to the living, these men and women will soon find themselves fighting for their very survival -- six hundred years ago.","{sciencefiction, fiction, thriller, historicalfiction, fantasy, suspense}"
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.","{classics, fiction, historicalfiction, youngadult}"
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,"There's an alternate cover edition hereSeabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes:Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race.From the Hardcover edition.","{nonfiction, history, biography, sports}"
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,"Mother and adopted daughter, Taylor and Turtle Greer, are back in this spellbinding sequel about family, heartbreak and love.Six-year-old Turtle Greer witnesses a freak accident at the Hoover Dam during a tour of the Grand Canyon with her guardian, Taylor. Her insistence on what she has seen, and her mother's belief in her, lead to a man's dramatic rescue. The mother and adopted daughter duo soon become nationwide heroes - even landing themselves a guest appearance on the Oprah Winfrey show. But Turtle's moment of celebrity draws her into a conflict of historic proportions stemming right back to her Cherokee roots. The crisis quickly envelops not only Turtle and her guardian, but everyone else who touches their lives in a complex web connecting their future with their past.Embark on a unforgettable road trip from rural Kentucky and the urban Southwest to Heaven, Oklahoma, and the Cherokee Nation, testing the boundaries of family and the many separate truths about the ties that bind.","{fiction, contemporary}"
055321215X,Pride and Prejudice,Jane Austen,1983,Bantam,http://images.amazon.com/images/P/055321215X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055321215X.01.LZZZZZZZ.jpg,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work her own darling child and its vivacious heroine, Elizabeth Bennet, as delightful a creature as ever appeared in print. The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.","{classics, fiction, romance, historicalfiction}"
0553582909,Icebound,Dean R. Koontz,2000,Bantam Books,http://images.amazon.com/images/P/0553582909.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,The arctic night is endless. The fear is numbing. Screams freeze in the throat. Death arrives in shades of white. Cold-blooded murder seems right at home....the chill of the grave.,"{horror, fiction, thriller, suspense, mystery, sciencefiction, crime, fantasy, books}"
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,"Covering the story of a stabbing victim, television news reporter Meghan Collins stares down at the sheet-wrapped body of a beautiful young woman in a New York City hospital. What she sees in the dead girl’s face draws her into a terrifying web of treachery, where nothing is as it seems and the truth may be too devastating to pursue....In a tragic bridge accident, Meghan’s father has disappeared—but no trace has been found of his body or his car. Meghan’s mother, neither widow nor wife, is unable to convert joint assets she needs to retain ownership of the family’s Connecticut inn. Before his disappearance, Edwin Collins had taken all the cash out of his substantial insurance policies. Now, in absentia, he has become the suspect in a brutal murder.Trying to identify the dead girl, find her murderer, and clear her own father’s name, Meghan finds that her search is entwined with a story she’s doing on the Manning Clinic, an in-vitro fertilization center where women seek the children nature has denied them. On a twisting trail of deadly passions and deceit, Meghan is venturing ever closer to the truth...a nightmare journey that may cost her her very life. Librarian's note: See alternate cover edition of ISBN 0671888587 here.","{mystery, fiction, suspense, thriller, crime, romance, contemporary, books, chicklit, horror}"
